# Adversarial-review coverage ledger. Verified by scripts/check-review-coverage.sh,
# which derives the package set from `go list ./...` at run time and fails if
# any package has no row, or if any row names a package that no longer exists.
#
# package	depth	last_pass	evidence	status_note
#
# depth is one of:
#   full-adversarial   a dedicated adversarial pass on this package specifically
#                      (not a package merely swept up in a directory-wide scan),
#                      with real findings or a well-evidenced zero.
#   targeted           a real, citable pass exists but is narrower than a full
#                      adversarial dive — a single-target dispatch, a specific
#                      reproduction attempt, or a fact-finding read for one
#                      question rather than an open-ended search.
#   structural-only    reviewed only to confirm a structural property (e.g.
#                      "this is genuinely generated code, not hand-edited"),
#                      not adversarially reviewed for vulnerabilities.
#   none               no package-specific review pass exists. Requires a
#                      status_note (see below) explaining why.
#
# status_note (required when depth=none, one of):
#   example                  sample/demo code, not shipped in any build.
#   test-helper              test infrastructure, not production code.
#   main-wiring               thin binary entrypoint with no logic of its own.
#   generated                 generated code (use structural-only + evidence
#                             instead if a structural confirmation pass exists).
#   uninvoked-but-specified   no production caller executes this code, but a
#                             test elsewhere treats its content as a spec to
#                             check the live system against — uninvoked is not
#                             the same as unused. (Added because migrations/
#                             needed a state the original four could not
#                             express; extend the set again if a future
#                             package needs one this set still can't say.)
#   pending                   genuinely unreviewed, no special status — an
#                             honest gap, to be closed by a real pass.
#
# A claimed pass (depth != none) with an empty last_pass or evidence is
# rejected by the checker — a citation-free "full-adversarial" is exactly the
# inherited-assumption failure this ledger exists to replace. See
# docs/adversarial-review-coverage-2026-09-08 discussion (or the equivalent
# memory/notes) for how the prior text-match approach got this wrong twice.
#
cmd/keyorix-k8s-sync	full-adversarial	baseline-2026-08-07 mini-batch 4 (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/cmd-k8s-sync-findings.json — well-evidenced zero: env-var-only credentials, real CA-pinned in-cluster TLS, distroless non-root	-
cmd/keyorix-mcp	full-adversarial	baseline-2026-08-07, two independent passes (batch 2 "mcp" + mini-batch 8 "cmd-mcp")	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/cmd-mcp-findings.json — well-evidenced zero: env-var-only credential intake, TLS/redirect-downgrade guard, stdio-only trust boundary, distroless Dockerfile	-
cmd/root	targeted	baseline-2026-08-07/baseline/cmd-root-findings.json, mini-batch 8 (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/cmd-root-findings.json — full 14-line file read, confirmed dead code via repo-wide grep for "RootCmd"/"cmd/root" (zero hits outside the file itself); real CLI entrypoint is internal/cli's own root command	-
cmd/system	full-adversarial	baseline-2026-08-07/baseline/cmd-system-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/cmd-system-findings.json — 1 HIGH (fixfileperm.go:21 unvalidated salt/DEK paths -> confused-deputy chmod/chown of arbitrary files) + 2 lower findings	-
cmd/validate-translations	full-adversarial	baseline-2026-08-07/baseline/cmd-validate-translations-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/cmd-validate-translations-findings.json — 1 MEDIUM finding (double base-dir join breaks every real invocation), confirmed by agent actually running the tool	-
configs	none	-	new PR #1839 (system init first-run fix); single exported []byte var (DefaultConfigTemplate) populated by a go:embed directive, zero logic beyond the embed itself, guarded against an empty/corrupt embed by configs/embed_test.go	pending
examples/new-architecture	none	-	-	example
examples/secret_crud	none	-	-	example
examples/system_init	none	-	-	example
internal/core	full-adversarial	10 dedicated baseline-2026-08-07 passes (core, core-auth, core-account-sessions, core-blast-radius, core-break-glass, core-bulk-access-requests, core-jit-access, core-machine-token, core-machine-token-hygiene, core-pat) + REMEDIATION-STATUS.md G15 (PR #1398) + G04 (PR #1435)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/core-jit-access-findings.json — CRITICAL: AssignUserRoleWithExpiry had no privilege-ceiling check ("most severe finding of the entire benchmark"); internal/core/concurrency_g04_threshold_race_test.go:TestConcurrency_AssignUserRole_SoDGrantRace confirms the G04 fix	-
